"","SRR19925016","SRR19925018","SRR19925020","SRR19925022","SRR19925024","SRR19925027","SRR19925038","SRR19925039","SRR19925040","SRR19925042","SRR19925043","SRR19925045","SRR19925046","SRR19925047","SRR19925052","SRR19925054","SRR19925055","SRR19925057","SRR19925058","SRR19925060","SRR19925061","SRR19925062","SRR19925065","SRR19925066","SRR19925068","SRR19925070","SRR19925071","SRR19925072","SRR19925073","SRR19925076","SRR19925077","SRR19925078","SRR19925079","SRR19925081","SRR19925082","SRR19925083","SRR19925085","SRR19925086"
"MT-ND3",16.2048317627812,15.5693097843803,15.8900473701724,15.6100375129999,14.9886593249727,14.8318694955073,16.2798767087704,16.8977605526442,15.5926696035286,16.3521833240877,15.4305674246813,14.8480322217804,14.8487373745987,16.0748129753248,15.677739379499,15.7297974699169,15.8388507294105,16.0598844332228,15.1906755094453,16.7759858244122,16.1142760151635,15.6547625963639,15.1193871874823,14.4116771185445,17.2278695254144,15.9133850081429,14.3280273533093,15.4083011820822,14.5672163429779,14.1553947226145,14.0284897048984,14.370100642387,15.3957371368317,14.2100286831084,15.1589922299377,16.1407959984328,14.6868096470417,14.536653692073
"RPL13",16.1272642372487,15.7360151351242,15.6484253272402,15.6701972535896,15.6682560562313,15.1634928431255,15.7055361144525,16.6918301432385,15.5317059418154,16.569708649945,15.4806513554542,16.3810578167969,15.1251408721629,15.7470239377366,15.7735259602628,15.9647742424587,15.8981065953297,15.3430355233124,15.5298450390138,15.5736203041384,15.7338212414935,15.8141630030783,15.3567657760948,15.466352294672,15.8694622454802,15.7457744104257,15.1996051368342,16.4501652884929,15.413624747847,14.4336357652217,14.2208129647453,15.1323080125549,14.9142807265291,14.5674206948824,14.8873437004894,15.6001204039324,14.2740541319139,14.5489569378904
"RPLP0",16.2278817290717,15.7827519937507,15.9576387299476,15.7626243467834,15.725443536339,15.2772448462738,15.8332347007591,16.1389368086553,15.5953021133263,16.3777145723916,15.740908408466,16.3483643591778,15.267643186266,15.4891965998975,15.5699067111265,15.6431990742524,15.6145517581457,15.0620438442935,15.445951978512,15.4598577875746,15.354775499853,15.6668297259308,15.2334467734844,15.5230545631012,15.3023577938849,15.6008954375149,15.5291924629813,16.2132191157753,15.5872125094462,14.8394473170029,14.7653186233544,15.3501419161628,15.1917118625632,14.9301243876841,15.1307447884792,15.4858996879695,14.6884015982194,14.8330002021778
"RPS2",16.2779610332818,15.7479718540269,15.5811846734968,15.6056497781631,15.5026387745172,15.0399666405916,16.0522559812283,16.6392580579942,15.7388210739287,16.5860967742664,15.758890249064,16.439158708852,15.0635629904396,15.483961802926,15.6425396901273,15.8517262714255,15.7773662602559,14.9594523604343,15.2619946198766,15.3400257202207,15.5897326863263,15.6740174235702,15.1706400417554,15.5466818938143,15.274537916361,15.726941871438,15.0957382120307,16.4796531356012,15.2009485587139,14.4101106868372,14.1399588638378,15.1225032399522,14.9620923821033,14.4109830810058,14.9059249878045,15.3142110028762,14.316663504493,14.5333888440409
"COL1A2",15.8540570320927,15.7557827457022,14.77238618486,15.6729533994229,16.0641054502906,14.708699843505,14.9625660214115,15.3487953760319,15.5086160325833,15.7536768550857,15.4784707467429,15.8405284880151,14.8496112755574,14.6997001703036,14.5839025564585,14.7854523443376,14.7255598197361,14.7721501068667,15.9723441690715,14.5351919321442,15.8267502674228,15.5473711377564,14.9919617555925,14.8418748931823,15.2251146762202,15.2103305390763,15.1990068176046,16.0922530828883,15.2875204803155,15.1720921285019,15.3132494928556,15.0675796621957,14.6476013644869,16.4372920307155,15.0832451165982,16.2407039033598,14.5186210508184,14.8695821414029
"GAPDH",15.6864547949819,15.63413609762,15.5998887859292,15.4534255419578,15.4659158080851,15.2322833367263,15.4874961900251,16.0812076175831,15.2902016109899,15.9405315301458,15.625271506182,16.059272036064,15.1714167968491,15.1467192630797,15.3073843339106,15.5798542806986,15.4998147628675,14.8823413514005,14.9501908732866,15.5264311841726,15.4448258180688,15.4239525519609,15.2036504894722,15.2570790656011,15.0772094119835,15.393544574463,15.0064250736407,15.6453944334754,15.4865702959887,14.5419019915648,14.7545031720296,14.9728924977031,15.0657537784821,15.2295877005121,15.2206703149648,15.7272351253895,14.4780698803189,15.0058799636321
"VIM",15.6717956131121,15.4988827142909,15.076702327577,15.5582764274977,15.5678021737052,15.0390610758776,15.5302490456539,15.702659157922,15.3549940737262,16.0384733449915,15.4106974024023,16.0118046807239,15.0465082782403,15.15180238305,15.4326668621847,15.369437646202,15.5380379264049,14.8477654286893,16.0810242955634,14.9428578447138,15.3051298327983,15.4083624987057,14.9556001827709,15.1108305898307,14.6668681342573,15.5938350074621,15.4558565693157,16.7537133188189,15.3408889050066,14.7568578263889,14.4899550906542,15.1864213704304,15.1211589405309,14.5405070101792,14.6287391561106,15.418127208668,14.3862824283221,14.2977533641145
"FTH1",15.0693902873352,15.6145704412919,16.0399866601591,15.5527637686459,15.1953644809917,15.5488059575661,14.9699931620102,14.895625976728,15.1853966613135,15.0376618047054,15.1892288093045,15.0165812036066,15.1711154669492,15.4922806758315,15.1163728134489,14.6212862833064,14.7573021870926,15.5217815818603,14.8567385029051,15.4156552999087,14.7989853663012,14.9198475769477,15.4771728271773,15.2139057713215,15.5025941486808,14.6546596037904,14.7083923519967,14.6971641000109,15.0768140410498,14.7764375916385,15.7291256340304,15.1397886092192,15.7332852361453,16.0381396441726,15.3737639281145,15.3030830566301,15.697167929572,15.6952744079078
"C1R",16.1636279960981,15.6206748485676,15.0520524156439,15.7934015514955,15.4736542888847,14.8811476039118,15.6188183132925,15.9895752060179,15.6231446893128,16.2295162179278,15.4877223759094,16.2485442907884,15.3278831961558,15.3446002812935,15.1039525780791,15.3814960615222,15.206005506765,14.382340377362,15.4544740476714,14.7741214906,15.426642195488,15.7959839757705,15.1708160372575,15.2049015439517,14.5441919228816,15.6534922088551,15.085756221726,15.8949362622113,15.0445312104645,14.9447443485774,14.4624582985632,15.3861382713915,15.0542646703694,14.5801110935004,15.1498705400767,14.49755679507,14.5443020845206,14.2378142906604
"RPL4",15.8023823146015,15.2607255281012,15.4503950941298,15.3902756727834,15.3629617557584,15.0237897184186,15.5604419913409,16.117633347578,15.1884643977424,16.1698668158844,15.3578136096724,15.87067888761,14.9702880609453,15.3123829284198,15.4050636797525,15.6601388491434,15.4984250742736,15.0134843721371,15.2040306843998,15.24407613213,15.1747764794254,15.402961075031,14.937885001783,15.2467231341941,15.2392697887825,15.3666125447516,15.1999679300256,16.1019334038078,15.1177733225001,14.4789883968673,14.4264621129734,15.135483541419,14.9201697432859,14.5201456337256,14.6936296523324,15.1976986757814,14.4126538203431,14.4535487774246
"COL6A1",15.8355520600596,15.4586313821233,14.4589169908405,15.3727475651597,15.4492188022251,14.7792738017942,15.5125903815873,16.3668664725156,15.6028099634301,16.0650555398196,15.5850531249536,15.6777115386139,15.1980352665023,15.3438123555795,14.9715577815171,15.5954835932829,15.4175251980189,14.6442358725784,15.145735606388,14.8003499599344,15.9168478574907,15.5433616904751,15.2509690157002,15.0579560626311,14.9389604694793,15.6342901005692,14.8424702265726,16.1798808530653,14.9736867859233,14.5734625803933,14.5418046816833,15.1077755487193,15.1014971787904,14.406147229509,14.9829712533297,15.4117388870364,14.493446731677,14.5216051213553
"GPX3",11.3300573776969,17.0347291655354,16.1869720465023,15.2195733778783,16.7974265880431,16.3183559243319,15.0031050925286,14.5665370683685,13.2270880759073,13.93716877193,15.5093381021259,15.7004389686703,14.2091706364222,14.4830555236292,14.3961872973235,14.9803009829552,14.3488193487021,15.5689856302888,16.3455868773873,16.2646906786776,12.2382588523757,14.897294781901,14.2370890205284,13.5914627827128,14.1768017787604,12.5791138267851,16.4644280102771,12.6842051316733,16.9205373608208,14.4523535525184,12.2604457218081,15.0683894974163,15.3883540589832,11.9068893765127,14.3404115463409,11.5960699814635,14.7319685957301,14.1183738761232
"RPS18",15.9792653120504,15.2943874796546,15.5294204122843,15.3958959670802,15.353024568951,14.828331446296,15.6405347010711,16.1739037973087,15.2552077716826,16.3286544918054,15.2679536896408,16.2290043627173,14.9629883739488,15.2973714742681,15.3912954691799,15.6937133102504,15.5794448798162,14.8131593755938,15.1210889467907,15.1756198002033,15.4223250659794,15.4513635902428,14.8872616479276,15.2221372867363,14.8742766539423,15.3907398072288,14.9442479825345,16.1178885392272,14.9696533061584,14.1007732148382,14.0022547467564,14.8840703851334,14.6260914848467,14.1973947923216,14.5799726967139,15.2075661025173,14.1009112543799,14.1277643718243
