"","SRR26112889","SRR26112890","SRR26112891","SRR26112892","SRR26112893","SRR26112894","SRR26112895","SRR26112896","SRR26112897","SRR26112898","SRR26112899","SRR26112900","SRR26112901","SRR26112902","SRR26112903","SRR26112904","SRR26112905","SRR26112906","SRR26112907","SRR26112908","SRR26112909","SRR26112910","SRR26112911","SRR26112912","SRR26112913","SRR26112914","SRR26112915","SRR26112916","SRR26112917","SRR26112918","SRR26112919","SRR26112920","SRR26112921","SRR26112922","SRR26112923","SRR26112924","SRR26112925","SRR26112926","SRR26112927","SRR26112928"
"ACTG1",15.7417910327649,15.9815494143172,15.6263953316372,15.4127005175883,15.6884053274681,15.8898656381822,15.7144754773591,15.4957167276209,15.8122813213005,16.1600055990001,15.8270391928972,15.5532040663728,15.9038590902165,15.7873004565304,15.8759279809245,15.9003081106976,15.7538998268329,15.8203566429706,15.7877951701884,15.4437732047037,15.7250726894958,15.2625786922614,15.6201911475109,15.7462840856494,15.997789403151,15.7976005340906,16.1047411993659,15.4099026910394,16.0362781722356,15.9633393771305,16.0006427714417,15.8094820947729,15.8064167460805,15.6257492169449,15.7855661740946,15.5679929073749,16.6348831512116,15.2679211805749,15.9238587198623,15.5449384461523
"RPL13A",15.6110762598173,15.4777858032151,15.5450294721152,15.5969919447884,15.4476587977618,15.7716185192123,15.6897737365858,15.3312427475251,15.9311514984298,15.7794263562163,15.7451254955966,15.5373874262073,15.548992502457,15.6003150716322,15.5451133033932,15.5547791689075,15.6616601071209,15.4803315287053,15.619551447598,15.6830326760148,15.4613778072315,15.3757080449602,15.3936339502693,15.482240808377,15.7553543302465,15.7619005027486,15.9056082779766,15.6994306703662,15.552698386563,15.498263330635,15.6974756749363,15.6333445534694,15.5052892734645,15.2150343997327,15.5865449650916,15.5708738566047,15.7139303224857,15.6414078874365,15.4854046865066,15.3487496704547
"ANXA2",14.8153304141378,15.1615684678564,15.7947076071715,15.7944492913225,15.727679522688,16.0588923059871,15.6886726204412,16.3964821143411,15.9131782089858,15.6344350943372,16.2436876503748,15.6830054463253,15.5241102640123,15.9573760826347,15.6208173768672,14.9369404680876,16.3004226999641,14.8583633148352,15.7976812937142,15.3668969699882,14.9152530370165,15.4511397791552,16.1322237499482,15.4257024511072,14.4391665641714,16.0424126946174,15.8986585702409,15.6397569611906,14.8805815260001,14.9379453178937,14.6903488702445,15.0721162971637,14.8985065139814,15.6884393017222,14.0159918970523,15.6543139180398,16.0584285377627,15.9583008084771,16.1097713230932,15.4428254754157
"RPL3",15.3267403518544,15.2732380315662,15.286998595039,15.3767470183091,15.4304641395281,15.6080847611408,15.5299959569604,15.1141235365443,15.8243520551928,15.5486127427941,15.7085938536801,15.4850288714696,15.5368976801087,15.6696314575026,15.6255236937726,15.5856618284011,15.6769551272057,15.4249437347626,15.6438367859934,15.4853159571406,15.4644869676109,15.1319975781024,15.4460605969616,15.5325852442566,15.9055681373653,15.778267127302,15.7272025151659,15.7106659233447,15.5532711672914,15.5525603457933,15.8187237604411,15.7642815968218,15.6027026537263,15.1923774445603,15.6965197670264,15.6396601689202,15.7507189610138,15.6758647852358,15.6065814111432,15.4593205920153
"CD24",15.3585485883807,15.7111043674138,15.6624974447652,15.6254434779816,15.459002260787,15.8443287139762,15.6508970493077,16.3178729923338,15.1330021373966,15.082347673774,15.467348013484,15.6737618209631,16.1516133875793,15.1233227920185,15.5452790831061,15.0838786067847,15.8266580407362,15.8186171109533,15.7195773548325,15.4050615366228,15.2234361888831,16.0728951981432,15.6798764358446,15.6442890495815,15.299561002383,15.2664637544391,15.363462969907,15.5186315901398,15.5324643962542,15.6401974501239,15.4275755760949,15.3753138451294,15.5340829204124,15.7551572797219,15.4449695083873,15.2259953234245,14.9020520942467,15.1845184656806,15.5407599352763,15.377773473636
"B2M",15.4865088796601,15.3335545233861,15.2758494697552,15.6565788005927,15.6242964069308,15.4534246815618,15.6673003570941,15.9411717489784,16.1827840353777,15.4571295830112,15.5948671880882,15.3572397528151,15.2612391251943,15.4349753123201,15.1108247896848,14.8618894040056,15.7155672409685,14.9445592910131,15.638800588652,16.4872907301741,14.9640544394887,15.3279043824408,15.6819504181123,14.9825032525494,14.9646265218831,15.4746225222737,16.0994918149101,15.4496538994629,15.6321953465071,15.4125856385177,15.7251410043575,15.4038215349916,14.9714372311231,15.9363027505606,14.7040682036498,16.0850211668344,15.4801945254846,15.4900095937509,15.3723838780715,14.9060992397257
"RPLP0",15.1231211384015,15.2613262520889,15.1389278771698,15.290821050786,15.3023853744887,15.5479651192973,15.3816302462394,15.1340480765788,15.723061175342,15.4573221379255,15.5453339116373,15.239931834229,15.4527584722865,15.5265710287357,15.4677765712851,15.5229917541129,15.6778862519881,15.3579191989535,15.4904739252906,15.3928365644291,14.9994834783725,14.7327446409755,15.2319174483739,15.2297832780697,15.5636200851839,15.6205901153987,15.6407747212098,15.4310519713035,15.3695891791232,15.3663472993383,15.5536669769985,15.4119320360194,15.0413364297541,15.0022443813906,15.5026016015046,15.5535827624618,15.4267190474446,15.4785927380661,15.4511891089168,15.2612394193522
"RPL10",15.0139060523566,15.1124471274372,15.2310114985326,15.3784626226499,15.291032376931,15.650426507335,15.2506362934894,14.882533522042,15.5933365272535,15.2935404175156,15.6610604590814,15.3620822773674,15.4676345619824,15.4637296840991,15.4911896410465,15.3908276807285,15.5164167796612,15.1640622290403,15.4502708493743,15.4185853476899,14.8316786852063,14.9452711112027,15.251347266958,15.3061018378076,15.5191047989709,15.6543964940225,15.4225041656499,15.5816257801366,15.288034902734,15.0990310642183,15.4263579811807,15.3777087714607,15.0928708305517,14.9823509070525,15.2912263680112,15.4778235830621,15.1207957731837,15.5925758738109,15.4187982142701,15.2170981202673
"GABRP",15.1665126861531,15.9598205732879,15.6695539135367,15.640330788995,15.0072709605899,15.5971021629443,15.1093542130919,15.7591938085175,14.8213440671389,14.738926295345,15.3939394597987,15.3310566644795,15.754307032391,15.1619242072317,15.5628961260784,15.1778112334479,15.3612482422233,16.0074718689384,15.2434102936267,15.5467054142709,14.9662360058479,15.4552344735553,14.9672401375649,14.894705219861,14.9843376683356,15.2166885172792,14.8632733103521,15.3874065547095,15.1019898247336,15.030031943687,15.219695887372,15.1966249574347,15.2549516489708,15.341121963157,15.3540822099788,15.2570455048055,7.228363194327,15.2440239493379,15.3398049545654,15.2632953480116
"AHNAK",14.9768643334784,15.1792203893065,15.5023301299417,15.4941395833234,15.5865850487535,15.6033511099725,15.1355070652441,14.7451170271182,14.8743763030127,14.8636920202679,15.2713286485947,15.6690568967261,15.3277565498864,15.0791192363918,15.4560399867027,15.2362481881037,15.6031340481426,15.4578255913988,15.4304026668674,15.0023811484775,14.8037683973119,15.6419249870867,15.3700118450546,15.317124862675,15.0113996483777,15.1912505993841,14.9700776437339,15.2568705658555,15.0481306996523,14.9759641159245,14.837240132405,15.424059616405,15.0608552886947,15.5182894839078,14.95357579773,15.5863033500754,15.5443548300256,15.4311053009554,15.4909519381344,15.3191879558491
"PAEP",10.0601492258575,11.0573533244695,12.656381409306,15.5041935541089,12.2738894138475,15.9186468620414,16.4381148001256,17.8900010368274,17.0504757957154,17.6954731356347,16.2213263406411,15.0225797231616,9.1143110103713,15.0952228581964,11.4253700728438,11.0678145137867,16.9886091419978,7.61404457135495,10.1946925605146,16.1026295337275,8.24425888256402,15.981227478662,16.4528478705902,12.0163502536993,5.23332357698344,15.0697103968429,16.2880677572437,15.9400788517477,4.98944643346475,6.48398475248719,5.5150676297758,7.87580086887192,10.9384823921043,13.4535633229537,7.43009011993036,14.8238553088262,7.98007905776814,15.7288351956593,13.8027211770633,9.88259194364222
"RPL41",15.1111330036136,15.0550315982378,14.9072416963727,15.0275142781097,15.2542944518663,15.2667174483267,15.2091186026407,14.8874859376345,15.3802008735013,15.0483994920185,15.4594798626315,15.2360854560998,15.3109597445324,15.3761380386846,15.0944807309988,15.2741523393849,15.524434664874,15.2539473470045,15.2043326281997,15.2258103322266,14.6136627929126,14.8195089331665,15.0816694039038,15.0473516960478,15.4458421369523,15.4736592373473,15.437184308713,15.2883212146793,15.3887783758037,15.1715674185521,15.3709865896693,15.1540694444172,14.8266397624764,15.0030950756038,15.2341005213162,15.2685367977402,15.4223789939866,15.3096866534152,15.2702521715146,15.2111603081278
"TXNIP",14.9130346249425,15.3211616042569,15.4642605452081,15.6505904347801,15.4211811200324,15.6279204356033,15.3319721707547,15.0858192276846,15.3844342573134,14.2763857052916,15.4236035750168,15.1397323536718,14.9480984905367,15.2261106350121,15.2216987816589,15.0104429961998,15.6372054885746,15.0918632144053,15.0607284352893,15.3518382575322,14.2231746973837,15.4415146175828,15.5032260618866,15.2795477505096,15.0978097341617,15.651793543308,14.8134696709782,15.1648465679964,14.9997631308427,14.3415836126608,14.9411112177537,15.3413101989865,15.071054550166,15.1219645333304,14.773603312305,15.3704987728346,13.5230394739629,15.5973062540619,15.364249114303,15.4964331753301
"PTMA",15.2137713391373,15.2289430408402,15.0420639697798,15.3514876314978,14.981709771265,15.4493812344711,15.5531593324609,15.631789134965,15.5502095015788,16.015556968256,15.2381083886756,14.8578697433867,14.9114808816014,15.0825678797241,14.91033904813,14.9462895352907,15.2090644382282,14.7927466904708,14.9729420983511,15.2501454821159,15.0497521057461,14.8824186372582,15.1752846557278,14.9336529048028,15.0772970197201,15.0818805857982,15.6059880798494,15.242751584328,15.0879518753171,15.1404938740376,15.1483758401068,14.8519198604233,15.073927763204,14.776606079025,14.8239057722371,15.1140286371007,16.0912763716193,15.041503494059,15.0716880821745,14.7490207704629
