"","SRR19525013","SRR19525014","SRR19525015","SRR19525016","SRR19525017","SRR19525018"
"HSP90AB1",13.3465785372669,13.02743251717,13.0892581055359,12.9629471370619,12.8935279315268,13.0974362789568
"ATP1A1",12.1231947981801,13.2790954224987,12.9265231953984,13.1159197510989,13.3121516257859,13.246603671868
"PIK3R1",13.3768871466546,12.7796116636631,13.0084776834304,13.2419360909115,12.8652898460032,13.0934769517644
"ELK4",13.3476105077927,13.0883051585589,12.871577440786,13.2268134307877,13.18621153798,12.5832086648866
"GNAS",12.5329656197518,13.3873175781298,12.8694814213711,12.7830792680791,12.9647832526792,13.5601328386856
"NORAD",13.0565709086491,13.1938529454597,13.1381310432794,12.864923667065,13.0910817915507,12.9283766105826
"USP53",11.9912868944068,13.4004249841073,12.9257977858115,12.1807781903846,13.544553477251,13.3369491551862
"RORB",13.3190267209055,13.4266222446084,12.9447355580443,12.7821000771606,12.396921617204,13.2200679674367
"C2orf88",12.5589377150737,13.4152824629999,12.9332630732175,13.1459320175635,12.9600032668644,12.894023452251
"CAPRIN1",13.3808282554558,12.5681056482497,12.9912049379706,13.3746012317401,13.2542576755497,12.3291701964765
"PERP",12.667085714586,13.0481455686024,12.9093744128713,13.2103215297814,13.5673281953964,12.1192060392025
"SF3B1",12.9385401757095,13.0230517610352,12.8992571991299,13.053686878623,12.9890492104795,13.0920175868009
"ACTG1",12.7642311527598,13.1264272783052,12.8705369461345,12.8392237155318,13.2703128400688,12.9834272196794
"FTX",12.9849742441142,13.2386273320797,12.8519427015015,12.9599969661838,12.8705011573414,12.9983184149477
"HELZ",13.0972742002246,12.9207420159646,12.8336022567467,13.5398694193559,13.0763045190244,12.2249546050756
"MME",13.0216744020551,13.2480309499477,12.9069784231055,12.4314584802152,12.8142223079085,13.2788535327006
"RESF1",13.2516777294902,12.9488440468533,13.0793513003971,13.0982645238674,12.9048807081975,12.4081652719323
"DDX3X",13.0961590971179,12.7840252790254,12.9600039887617,13.0208441164544,13.0420826326631,12.8979746453038
"ARHGEF12",12.7198160909995,13.0752219979154,12.9799230419812,13.1397075982314,13.1335433456288,12.5866975634486
"TMSB4X",12.4946933847144,13.1520395093988,12.9779207964709,12.7054169502777,13.0256883908327,13.1560918100357
"COL4A2",12.8887043992311,13.1145202911042,12.9294771304927,12.5512573461407,12.7693499133506,13.3344422049635
"IQGAP1",12.9196683754471,12.9929568033583,12.8854575091136,13.2977024924459,12.9306806242842,12.6610795840096
"SHROOM3",11.4776233496798,13.1842417982378,12.8249465275396,13.1407003130275,13.6371884871113,12.7022682344302
"A2M",12.4855536809485,12.5535417462909,13.6670335734055,12.704369069654,13.0914130141896,12.4860314599406
"FLNA",13.2653564613278,12.6050223012989,13.0914307660745,12.6388785462401,12.6907281740312,13.2273748257506
"CNDP2",12.1302226793847,13.1833181517567,12.7016515680043,13.0862132856114,13.2384289312399,12.9606312437669
"OGT",12.77584509913,13.0872246740145,12.7744425295582,13.1525007967843,12.8747190874229,12.8606759213071
"RPS6KA5",12.4180793863254,13.2069510162176,12.3009458375526,13.3435263768678,13.2954961837405,12.474074461441
"HDLBP",12.8279565149874,12.9141831276178,12.870444374563,12.9805623445971,12.8253498411015,13.0789042367496
"SLC44A1",13.5379217452071,12.4180954002217,12.625500289774,13.1048121816516,13.3894396909753,12.0090041611004
"RXFP1",12.3542646581658,13.2354077301052,12.6070995245041,12.8908045565643,13.2055458360537,12.869907954736
"TM9SF3",12.8343264189378,12.9570629152462,12.761418534456,12.8956328126212,12.9402933195684,12.9709503963202
"UBC",13.0216655530168,12.9354912579092,12.8118373453587,12.919346729868,13.0888882771731,12.5960446970726
"UTRN",13.6361828018351,12.9072424798683,12.619405586795,12.6304557027307,12.6941189706886,12.8420661661423
"LAMA2",12.4808581065699,13.268541838963,12.775037291977,12.8075073667641,12.3782337885235,13.2684235627839
"MPZL2",11.8067383847386,12.9072146167602,12.8706193989925,13.0780107930125,12.9880306349339,13.0423494195242
"HMGCR",11.9331747243992,12.5951493111695,13.0674152388335,13.290883034604,12.7892222629396,13.0112509469476
"CTNND1",12.770245854856,12.8637097665153,12.8204568496917,12.8398578962829,12.9647798545252,12.9003298279616
"CLTC",12.8618984269177,12.7982307254437,12.8948466440487,12.9223941916043,12.8813623474474,12.7665400027735
"VIM",12.924168594428,13.0385004595278,12.7576534387909,12.6083365547553,12.6971464887874,13.0480950696628
"ARID5B",13.3657952773012,12.2818194653803,12.6975180129997,13.334953492045,13.1412292339433,11.6428763373844
"SMG1",12.9698260783188,12.8627588891618,12.7384891355659,12.9312941452153,12.868480166455,12.6646224812492
"HUWE1",12.7998485046767,12.7013782090131,12.8521802928167,12.7865571042718,12.9385059573055,12.9146599254521
"PPP1CB",12.816636050599,13.0263584947788,12.694740059806,12.9503427266974,12.8174709423615,12.6418079706923
"LPP",12.9086731303523,12.8275944114269,12.7058475833004,12.7281801658455,12.9732300848894,12.7712162212589
"NPIPB5",12.5647938180366,12.9715694935578,12.6122879137838,12.4543736783643,13.4469081144347,12.7928275136411
"FOXO1",12.99698053021,12.6894636442638,12.9500605543674,12.8573833919906,12.8501247950568,12.5660010840757
"ARHGAP5",12.4404064686968,12.8179923562249,12.5363477124874,12.8200936019946,13.374460313047,12.6014110771095
"RNF213",12.836625395563,12.7374539205366,12.8010768993081,13.0340965925286,12.7424745620251,12.6613055632645
"RALGAPA2",12.2360010936091,13.2357136487832,12.6345498046447,12.9469446545285,13.3821230651506,11.9316708685947
"ATP2B4",12.7057305634267,12.7525840530636,12.63683788006,13.0876141620895,12.8855158918735,12.7401126554957
"TC2N",13.1187453659792,11.8999957247082,13.1396195003057,13.2039543834122,12.9909739154201,11.6472342698911
"RBM39",12.8549625292727,12.755490909812,12.6855498538183,12.8298541485123,12.8351048495376,12.8071537433653
"PGR",12.4644039532071,13.0699818944403,12.6958323143549,12.5420949894514,12.6478052499154,13.0968878353425
"CRISP3",11.5650813212533,13.222692020934,13.7827849730644,11.9836998233961,11.9856354099771,12.2702606894406
"BIRC6",12.8447424840472,12.6793532965209,12.6733864954633,12.7282514333456,13.1051081361646,12.6566772693029
"SFPQ",12.7893346064369,12.7949241712201,12.778844313602,12.8319917246114,12.7116965625232,12.7355478056245
"ITM2B",12.8251656606767,12.6000366109875,12.7576116981322,13.0703282164617,12.8085276239411,12.5267665188109
"CSDE1",12.7198145750004,12.878549239295,12.8495549409245,12.610473075559,12.8108021496254,12.6293286739417
