"","SRR19525013","SRR19525014","SRR19525015","SRR19525016","SRR19525017","SRR19525018"
"COL6A1",12.258134629338,12.3631752075732,12.5034651707013,12.2341855690083,12.2429813049256,12.9902192394555
"NCL",12.5941285185343,12.1431788419449,12.8295427473834,12.5876109606168,12.3594721407449,12.2064645213247
"XPO1",12.2598615681092,12.7171050058227,12.3075430608114,12.3518015202186,12.7125669174509,12.4527133437221
"PRKX",11.9447173979388,13.1222230257037,11.7879460348663,12.7156451304236,12.4754736255033,12.4751772882013
"ADAMTS9",13.053225780803,11.9423981767691,12.8059159458797,12.5205976091673,11.9133870272567,12.2752867142531
"LRP1",12.1983423440362,12.4556635147016,12.4756976623135,12.2822944259241,12.1879438469794,12.9656559803901
"IVNS1ABP",12.2325896576534,12.3301450429205,12.5303381502199,12.4417686260436,12.6602203416142,12.440299425597
"RPLP0",12.6891820661012,12.4275590305434,12.5962714936069,12.3778776933689,12.3900097506269,12.274044543758
"HOMER2",11.8870365954266,12.7414518966038,12.1084839872205,12.6235033419421,12.6345569639501,12.5415870407301
"PPM1H",10.9716762193627,13.2772385889191,11.5181578076425,12.3602920800915,12.5719639363146,12.8811321746617
"HIF1A",12.4947434171478,12.1042282158304,12.5699677029666,12.7298571479407,12.7509380182633,11.7859843936662
"PLEKHA5",12.132276875623,12.8412576848088,12.1691620680094,12.1993900968883,12.3777980397601,12.8639772005782
"USP34",12.297083898894,12.5620144659964,12.4919273300213,12.5842989939331,12.3244084895737,12.3597401104206
"RPL15",12.6266302664853,12.4746407028154,12.5352989839179,12.2924535029634,12.3574281383468,12.3530690937118
"MYOF",13.1088575403213,11.9292143387845,12.4625699098879,12.6877378264611,12.3270889113781,11.8724750600632
"RPS3A",12.663894820789,12.4219178591643,12.6802689605858,12.3215924333146,12.1852633064966,12.2338100946729
"SETD5",12.448493412704,12.4486560010534,12.3270538728262,12.4980813983322,12.3600705406793,12.5453977496196
"SPTBN1",12.3465011108088,12.4396120137237,12.5220068612062,12.5088062998375,12.2909304499416,12.437832773617
"SECISBP2L",12.2309481774901,12.6086497878976,11.9667814920907,12.765592059882,12.3847233168782,12.5475351443944
"RPL7",12.7830706806473,12.483389533561,12.3498144926436,12.3522694309672,12.3423831939578,12.2494588082949
"TTC3",12.3725038795522,12.6745236608131,12.2992303327551,12.2708108304979,12.2889487051704,12.6083106987831
"DYNLT3",12.6317533649394,12.3099058987951,12.0877323683401,12.9419164573496,12.6145479009735,11.5571051280826
"ATRX",12.5656846488064,12.3156620663115,12.3730047554691,12.2957260288852,12.4802723167495,12.4491891453634
"SESTD1",13.0620744529664,11.9920128502494,12.0286360512133,12.6818618977288,12.7576747359403,11.467248376457
"NFIA",11.554178501319,12.4190575541594,12.2026504986179,12.4053305443996,12.3721992408624,13.078153285065
"HIPK3",12.2693822360227,12.6064713535851,12.2102753732276,12.5124294281294,12.525222175561,12.2792162466818
"MT-ND4L",13.0372741751003,12.2889142621835,12.3041222189536,12.5100143604664,12.264271217665,11.9214790396179
"ARGLU1",11.9930365150683,12.4845420409207,12.2477502674268,12.5144825271842,12.3762660594865,12.6003405916254
"COL6A2",12.0854987184352,12.4952461994949,12.3854612272817,12.0534906217839,12.2660946419682,12.7268778441303
"HNRNPC",12.624412106786,12.3767221812518,12.5377788930825,12.3918957286397,12.0785812872841,12.2115248297058
"CD46",12.1706701981833,12.2633978028011,12.293961929939,12.5665283471667,12.5102332912404,12.3418419769474
"KTN1",12.4200882056222,12.1516982038805,12.3251928336258,12.5733453539975,12.6273663105027,12.0657838403531
"DDX6",12.4651119205991,12.2172313878372,12.4545664208803,12.4842218367949,12.4264879786537,12.0979985355297
"RPL6",12.6192432410424,12.4474059185512,12.4788069869177,12.1261732858672,12.1951576631974,12.2871838292891
"PCBP2",12.4606781765843,12.5072346735868,12.356428149436,12.3094649726377,12.3708765962918,12.1875727557452
"LOC389906",11.6580262383286,12.4257604459436,12.3553836022523,11.8174537851254,12.8641911499599,11.7733769943448
"PDIA3",12.4623093313013,11.9613003250433,12.5930075166314,12.4579791166799,12.0846689596345,12.4341795432317
"ARHGAP21",11.9166361434235,12.764937318806,12.3557404161959,12.1985041820049,12.0507354335572,12.7515912206714
