"","GSM1832695","GSM1832696","GSM1832697","GSM1832698","GSM1832699","GSM1832700","GSM1832701","GSM1832702","GSM1832703","GSM1832704","GSM1832705","GSM1832706"
"SLC29A4",4.5991793,4.7282224,4.8357134,3.4232283,4.2676645,3.4657402,4.2640725,4.2735482,3.2737308,4.1037312,4.9537135,3.3044744
"SLC2A1",10.120224,8.9604187,9.044221,9.0077486,8.5838642,9.5703096,10.0414152,9.0852423,9.5950786,9.7715636,10.1370936,7.893158
"SLC2A1-DT",4.636653,5.5199247,4.7862611,4.7433424,5.4849797,5.9558812,4.8772374,4.9835706,4.808404,4.6535488,6.10903124,5.7532783
"SLC2A10",6.96185497,6.2245007,6.61932472,6.1135388,6.18433765,6.1131125,6.38616947,6.68632606,7.458149,5.8234024,6.0922156,5.5182929
"SLC2A11",5.7774682,6.6164389,6.1893263,6.31663517,6.97487167,7.3719826,6.27032665,6.25815395,6.27756313,5.9598856,7.6600237,7.05657724
"SLC2A12",3.914423,3.7670584,4.0496798,3.7707081,3.3499636,3.8763976,2.651146,3.4709568,2.2887059,3.0786353,1.9715176,2.6030279
"SLC2A13",1.6527176,2.2237256,2.0034886,2.5586146,1.6051941,1.7983971,1.5582981,1.7044402,1.9951392,2.2932906,2.0583506,2.4587169
"SLC2A14",4.9790636,5.8036576,5.6358843,6.1016865,6.2003613,5.6788187,5.8940688,6.2369433,5.8875819,5.4639249,5.1119509,6.0339542
"SLC2A2",0.8619236,1.1203289,1.6558716,1.5511661,1.6518996,1.7994906,1.564035,0.8246699,1.1600526,2.1351118,1.824832,2.3324116
"SLC2A3",7.56028465,7.39730076,6.47372345,7.91078094,7.3332272,8.0813589,7.08251766,7.40177253,8.2351704,7.22735408,6.77042774,8.208108
"SLC2A4",1.2016282,2.9777589,1.6808749,1.861291,1.6633649,2.5433616,1.519517,2.4675366,1.1731486,1.7105266,1.9478779,2.5117646
"SLC2A4RG",9.1764307,8.4114972,8.4577341,8.300232,8.4025689,8.8688393,8.8472004,8.3478136,8.3791771,9.1793089,8.4953232,8.7138376
"SLC2A5",4.9062181,5.2151924,5.0255656,4.8433476,5.4148102,5.5580321,5.2225843,5.4936047,5.3043886,4.9004155,6.35050205,5.9416051
"SLC2A6",9.8472566,10.6915818,10.4636622,10.3626976,11.0148049,10.8706951,10.3494339,10.491827,10.4866296,10.050293,10.3772822,10.1986008
