"","GSM2771795","GSM2771796","GSM2771797","GSM2771798","GSM2771799","GSM2771800"
"MBD5",2.232708927,2.32664595233333,3.1136707125,2.4376535175,2.51795148566667,2.1670104275
"MBD6",4.08614885533333,4.8218677795,4.37068746233333,4.66720071583333,4.78590923216667,4.41575094133333
"MBIP",6.8024997555,6.16506390683333,6.416292604,6.3553592545,7.28043080883333,7.13097468116667
"MBL1P",4.49919817416667,4.859833911,3.8689564595,4.44384415316667,4.79644690733333,4.64621164216667
"MBL2",2.81954991483333,2.52095508,2.63826444783333,2.54859369333333,2.15056368083333,2.58456750283333
"MBLAC1",4.46197945816667,4.03010661883333,3.61084939166667,3.70035553883333,4.046869806,4.5203118545
"MBLAC2",4.42473116516667,4.80520589266667,4.8006196375,3.83501011216667,4.22773887633333,4.960272748
"MBNL1",8.38059332166667,9.264850136,7.38744742666667,8.87700788866667,8.33490278716667,8.49873244266667
"MBNL2",8.542006943,8.64403709216667,8.23633810166667,7.85430772433333,8.10506182233333,8.02988491283333
"MBNL3",4.24243110183333,4.048086886,3.36072254,3.80709093433333,4.06553093383333,4.69961872033333
"MBOAT1",4.09504355416667,5.03985414,5.62012179983333,4.5696845815,3.5738357735,3.45458538783333
"MBOAT2",4.765183871,6.30643536433333,5.72720780566667,5.15126759583333,5.54954076691667,5.00069324983333
"MBOAT4",3.30448422966667,3.37087755983333,2.93200387766667,3.25636108233333,3.64832289933333,3.5557018085
"MBOAT7",6.13178642916667,6.1836302945,6.103028,6.13458331283333,5.996582321,6.443480797
"MBP",4.60341753766667,4.21669181083333,6.66282741933333,5.20606926933333,5.44326530683333,4.69961872033333
"MBTD1",4.08998446466667,4.19023100733333,5.74895931083333,4.33683890466667,4.4649470955,4.89417277883333
"MBTPS1",5.78016654633333,5.71451406866667,7.4783144825,6.13028713483333,6.31367549566667,6.098885348
"MBTPS2",3.860085493,4.09385089566667,6.8501866095,4.054722133,3.081152119,2.4876420095
"MC1R",6.49629211633333,6.31677292166667,4.67326955516667,6.418995747,6.09269781183333,6.18496441783333
"MC2R",6.0236058935,5.66939157533333,4.15351998833333,5.781969228,5.40378142716667,5.7562209805
"MC3R",3.65942752116667,3.92158451033333,3.58997468716667,3.98648677133333,3.61562662333333,3.8496028465
"MC4R",3.5227253125,2.70479315466667,2.63286410816667,3.0784501795,3.12141081633333,3.62898875216667
"MC5R",3.53140831583333,3.95653324983333,3.01891273433333,3.48443844566667,3.18877912933333,4.08623180116667
"MCAM",6.07457507816667,6.06861203825,5.00006013733333,6.6668239295,5.14935722933333,6.26365518416667
"MCART1",2.75889595883333,2.87002922183333,3.27786885716667,2.90693341833333,2.657594074,2.40830177316667
"MCART2",3.11714552466667,3.01573434633333,3.32963269883333,3.35266785983333,2.7732586165,2.98860535433333
"MCART6",3.06165974083333,3.0347189125,3.11244234983333,3.21125626533333,3.34780421283333,2.88273075233333
"MCAT",5.3447100535,5.3833499135,4.89293088083333,5.9024497005,6.40097091733333,5.57069202133333
"MCC",4.35166472616667,4.04659803533333,3.81982828516667,4.25279342,5.285154137,4.34793220666667
"MCCC1",4.75704272816667,5.28598600683333,6.17613360333333,6.23202528466667,7.232269884,6.919912678
"MCCC2",6.31940654516667,5.80412434666667,7.610043505,5.950181618,7.2281489295,6.52962151366667
"MCCD1",4.64898351483333,4.641057801,4.05728720633333,4.500123032,4.72662395866667,5.1650539155
"MCEE",5.616725459,4.77502327516667,5.22246681666667,5.080953214,5.396367438,5.04170662033333
"MCF2",2.8249866365,2.16984198075,2.03866541933333,2.72120742466667,2.0895638795,2.1734264105
"MCF2L",4.73381525966667,4.97843609633333,4.644084865,4.53456938533333,3.66507233383333,4.25005893433333
"MCF2L2",4.01162607166667,3.87531603366667,2.79846894216667,4.04978618116667,4.142204002,3.98862167983333
"MCFD2",3.62403258091667,3.37526959066667,6.78189524733333,4.63176110283333,3.36052145466667,3.47654364716667
"MCHR1",5.87075416716667,5.6335600365,4.8518582385,5.9180891005,5.85767616933333,5.58414137716667
"MCHR2",3.83634286683333,3.45188313466667,2.69879699275,3.46956404716667,3.18481558466667,3.73163710783333
"MCL1",8.5424642005,8.979038932,9.44537411516667,8.3836510045,8.6512405315,8.22856390266667
"MCM10",4.67049272416667,5.51315278166667,3.796925631,4.46726110833333,4.632249083,4.43413828183333
"MCM2",4.72180047816667,4.81744857033333,3.87101758516667,4.77891153033333,5.13442040683333,5.00207947016667
"MCM3",9.30740448416667,8.21635671316667,6.65722903716667,8.62670040083333,9.6257270295,9.77065305283333
"MCM3AP",6.99280192216667,8.3465415955,6.8890497325,6.78576850433333,5.62888630666667,5.83369788833333
"MCM3AP-AS",2.27675223408333,2.59098659916667,2.65142636183333,2.75665114416667,1.65566785233333,2.30136467533333
"MCM4",4.91036899766667,6.914180733,5.94996037783333,4.99451340866667,4.6262442075,5.06439638016667
"MCM5",4.837424511,4.8723276895,4.3580034585,5.08633750933333,5.00136012608333,4.8587130185
"MCM6",5.18325936366667,5.65666619283333,5.70718534416667,5.70718534416667,5.2414484805,4.79029551366667
"MCM7",8.15150136483333,8.92435774266667,7.268226933,8.39361514783333,7.68863216466667,7.33037224983333
"MCM8",2.825522648,3.0471357235,3.34084486433333,2.5716208285,3.02937405233333,3.23931741383333
"MCM9",5.70292719666667,5.22468112283333,4.18781064666667,5.77437440366667,6.07100996733333,6.00798912266667
"MCOLN1",7.08067848066667,6.13357832166667,5.71936783983333,7.215005064,7.25373397683333,7.63832491425
"MCOLN2",2.56159293783333,3.05721647966667,3.01438879983333,2.51954572583333,3.1002806785,3.17969919316667
"MCOLN3",2.66470405733333,3.71789393133333,4.18234280516667,2.77154275633333,3.22216290766667,3.3466356205
"MCPH1",2.9148860035,4.1431901945,4.474516517,4.0306133765,2.24100188716667,2.648587098
"MCRS1",5.309398597,4.972810524,5.52213303683333,4.49514907133333,5.29393923333333,4.59589769883333
"MCTP1",2.88166839166667,4.21243348983333,4.9319210935,2.723073065,2.8666708435,2.26952042266667
"MCTP2",5.6688514455,5.08140107583333,4.87631316866667,5.363475438,5.95354093366667,5.78982090366667
"MCTS1",7.353155937,6.5679561805,6.84467050033333,5.896822505,6.6075507295,6.6132190365
"MCTS1 /// PSIMCT-1",5.1802294995,4.607097128,5.14615763783333,4.6326570445,4.1431901945,4.285522413
"MDC1",6.15079252533333,5.38162978516667,3.82125655666667,5.7758665095,6.11503792966667,6.23409011166667
"MDFI",4.9240150045,4.31404982566667,2.529040545,4.60115058233333,5.19388479266667,4.98319276916667
"MDFIC",4.70434910216667,4.487428633,4.0125402,5.0132272335,5.54954076691667,4.8698995215
"MDGA1",5.40173156833333,5.12281371,3.84667142933333,5.32030012258333,5.82009874983333,5.20636969366667
"MDGA2",3.53483399866667,3.40711262616667,3.05392506016667,3.70333669916667,3.47175450933333,4.25291364233333
"MDH1",9.43599758983333,9.5545627985,9.8567997315,9.0235753195,9.228803813,9.46538591616667
"MDH1B",3.79507175983333,3.871206245,4.125485539,4.14620336583333,4.47927121033333,4.71430359033333
"MDH2",8.24408210566667,7.3402328015,8.07305241066667,7.2268929845,7.85854069933333,7.86711371083333
"MDK",7.12600329933333,7.83356398033333,7.4335960375,8.74998307833333,8.738834376,8.58622608516667
"MDM1",3.68464745766667,3.52964472883333,5.17281207583333,2.54410261216667,3.79489049916667,3.54275460833333
"MDM2",4.0246147945,4.113711703,5.29245774583333,3.260488479,4.224775754,3.79019092583333
"MDM4",5.40643656066667,5.67027374766667,4.01167476108333,6.283305502,6.8276560895,6.44045538216667
"MDN1",5.04955038733333,5.48341078,7.064770546,5.40575237866667,4.26161478483333,3.80478856733333
"MDP1",6.01148694533333,5.75516988216667,6.16158434416667,5.91573112666667,6.2307770125,6.26365518416667
"ME1",3.73585120516667,3.9122728835,3.902674714,3.6847823715,3.74041602566667,3.730955796
"ME2",7.73083704066667,6.2792940225,6.10949632116667,7.2305777455,7.78407663833333,8.267780014
"ME3",6.1936473725,6.74566726683333,5.05112671033333,5.95727414383333,4.4047368215,5.84109860416667
"MEA1",7.67688028916667,7.97190564616667,6.692410277,7.65204928066667,7.6281631035,7.323124748
"MEAF6",6.98734767733333,7.532270563,7.6988554975,6.69928530566667,6.999923458,7.1522863775
"MECOM",5.31504794183333,6.1733363215,7.512866229,6.9980738515,6.10096154033333,6.6624490615
"MECP2",5.837571322,7.1522863775,5.3144759375,5.73937051483333,5.581492889,5.30633965633333
"MECR",5.95794346533333,5.3447100535,5.53218034666667,5.07746201666667,6.204741246,5.66237542333333
"MED1",6.23998113516667,6.69845625583333,4.49381722833333,7.5946850465,7.02833764183333,7.19927597466667
