"","GSM3045867","GSM3045868","GSM3045869","GSM3045870","GSM3045871","GSM3045872","GSM3045873","GSM3045874","GSM3045875","GSM3045876","GSM3045877","GSM3045878","GSM3045879","GSM3045880","GSM3045881","GSM3045882","GSM3045883","GSM3045884","GSM3045885","GSM3045886","GSM3045887","GSM3045888","GSM3045889","GSM3045890","GSM3045891","GSM3045892","GSM3045893","GSM3045894","GSM3045895","GSM3045896","GSM3045897","GSM3045898","GSM3045899","GSM3045900","GSM3045901","GSM3045902","GSM3045903","GSM3045904","GSM3045905","GSM3045906","GSM3045907","GSM3045908","GSM3045909","GSM3045910","GSM3045911","GSM3045912","GSM3045913","GSM3045914"
"FTHL17",15.165,14.771,15.164,15.9,15.551,14.711,15.491,14.672,14.721,14.439,15.061,15.641,15.269,15.551,15.181,15.624,14.894,15.318,15.792,15.259,15.115,16.049,15.177,15.301,15.014,15.973,14.809,16.11,15.984,16.029,15.018,15.308,15.256,15.155,14.893,15.787,15.192,14.785,15.845,13.959,15.65,12.826,13.934,14.034,14.266,15.196,15.75,15.369
"FTL",14.2879874666667,13.8594486166667,13.7845935433333,13.6590896866667,13.91785652,14.38082554,13.9962701666667,14.32868012,14.5934846833333,13.9092583533333,14.1158397766667,14.2181958933333,14.31706984,14.1768511933333,14.3858340566667,13.5895660466667,14.0729957366667,14.1563847033333,13.61410322,14.29652422,14.3070565366667,13.77424603,13.8561063333333,13.9602657333333,14.0017190933333,13.7175123566667,14.0453118333333,14.2331032933333,13.8166962166667,13.92349998,14.27877432,15.1930928133333,14.39062776,14.3098159233333,14.0848947433333,14.11863931,13.92168347,13.85282831,13.97454603,13.2436447233333,13.8453374566667,13.8118158866667,13.4590067,14.10246965,13.9026116066667,13.8958838,14.20654602,13.6151231166667
"FTLP10",6.8871,5.1675,4.4959,5.001,5.3642,4.9273,5.6496,5.3906,5.1155,5.0196,5.5572,5.0888,4.1625,5.0367,5.1443,5.8627,5.095,5.1899,4.7387,4.9268,4.8549,4.5756,4.8282,4.5687,5.106,5.1046,5.1679,5.1899,5.2996,5.5928,4.7466,5.1675,5.0652,5.0127,4.7069,5.0531,4.8658,5.1936,5.2373,4.9391,4.7594,5.962,7.3133,5.4902,5.9154,4.9605,4.4751,4.8709
"FTMT",5.8559,5.8146,6.1697,5.7931,6.4103,5.8058,4.6306,5.659,5.3819,5.5572,5.2289,5.9811,5.6989,5.7065,5.7696,5.0449,5.5141,5.6756,5.7773,5.8875,5.9127,6.1742,6.231,5.6671,6.6087,6.325,6.0052,6.5552,7.0212,6.6593,5.7203,5.8559,6.7823,6.3997,6.0474,5.5304,5.8881,6.3072,6.4915,6.0961,6.05,5.2637,6.0175,5.9795,6.6668,6.1619,5.9435,6.0533
"FTO",10.033576505,10.209461705,10.058516655,9.322673635,9.71330118,10.256005555,10.03150716,10.611954155,9.877947575,9.944956035,10.01803126,9.497131365,9.710706965,9.547189965,9.88487333,9.37990337,9.872448555,10.065363965,9.391667665,10.191278465,9.8858252,9.60233949,9.766854265,9.83594677,9.834875025,9.24003018,9.58438397,9.90271252,9.45890072,9.58305649,10.0596721,9.98194315,9.978514685,10.030351225,9.707080995,9.531042525,9.00048708,9.15447219,9.015243405,8.63601824,9.547346745,9.339874475,9.090857055,9.435572135,9.06752231,9.417895815,9.62620921,9.072144245
"FTSJ1",13.068,13.191,13.479,13.488,13.132,12.985,13.209,13.541,13.222,13.355,13.26,13.011,13.4,12.997,12.878,13.331,13.381,13.018,13.335,13.291,13.101,12.946,13.154,13.029,13.289,13.064,13.565,13.306,13.287,13.648,13.781,12.743,13.58,13.354,13.798,13.368,13.244,13.7,13.284,14.082,13.997,14.308,13.982,13.21,13.746,13.527,12.831,13.607
"FTSJ2",9.0246,8.5072,8.5268,8.9081,8.6283,8.445,8.1158,8.9501,9.1451,8.7586,9.0651,8.8485,9.0251,8.8571,8.8216,8.7003,8.9898,8.8525,8.5272,8.7708,9.0715,8.9159,8.6957,9.2855,9.2776,8.8547,9.7292,9.0255,8.7584,8.9597,9.2042,8.8841,8.9486,8.9273,8.8972,8.7911,8.1648,8.8028,8.7786,8.0495,8.7431,8.9309,9.2501,8.121,8.0406,8.7522,9.1077,9.2088
"FTSJ3",11.937,12.042,11.834,12.525,12.052,12.359,11.372,12.159,11.989,12.423,12.522,12.387,12.466,12.604,12.486,12.376,12.315,12.42,12.459,12.323,12.334,11.796,12.341,12.264,12.821,12.585,12.669,12.832,12.339,12.927,12.835,12.525,12.52,12.045,12.968,12.075,12.4,12.535,11.765,12.467,11.994,12.557,13.197,12.525,12.574,12.201,12.512,12.68
"FTSJD1",11.053,10.544,10.541,10.82,10.258,10.823,10.474,10.755,9.5651,10.47,10.288,10.912,10.235,10.246,10.217,10.581,10.763,10.225,10.673,10.408,10.484,10.359,9.9968,10.023,9.2388,10.305,10.417,9.941,10.161,10.409,10.191,10.118,9.8628,10.32,10.455,10.638,10.58,10.42,10.654,10.384,10.292,9.8055,9.8931,9.5205,9.7468,10.202,9.6987,10.333
"FTSJD2",8.4228710065,8.2302834225,8.551260111,8.5292230275,8.3454977025,7.896928916,9.104174128,8.9285807895,8.069956026,8.5542952475,8.62851923,8.7107903885,8.847984314,8.5584715365,8.813881899,8.4415506725,8.591001117,8.827665557,8.401932467,8.5913477435,8.708271347,8.3687322465,8.5821521665,8.880844866,7.660364636,7.819645242,8.652508167,8.2159570745,8.35992032,8.094601839,8.431517257,8.05867815,8.164128941,8.406558362,7.9557136625,8.5752795,8.0511617925,8.2363556565,8.0955895455,7.816058896,7.6051566965,7.8999427705,6.9213120985,7.16236083,7.185606274,7.9710225535,8.7292698605,8.595508048
