"","GSM2425674","GSM2425675","GSM2425676","GSM2425677","GSM2425678","GSM2425679","GSM2425680","GSM2425681","GSM2425682","GSM2425683","GSM2425684","GSM2425685","GSM2425686","GSM2425687","GSM2425688","GSM2425689","GSM2425690","GSM2425691"
"ABCC11",4.5685086372768,4.5867824962598,4.96201927429141,4.07671112077375,4.38826552811699,4.6296515991981,4.32396071806427,4.76609988569762,4.4813648870155,8.10380844867361,6.36514431950248,4.86883539238926,6.25222621868981,6.44139998172211,4.84065165314767,5.46977529596539,5.97076302301066,6.06598066125623
"ABCC12",3.76704878142653,4.11675415859634,4.12649352972961,4.76666342577229,4.27655927039806,4.22268294055945,4.34768542590601,4.10356427573639,4.00884871851848,5.67926839486669,4.17103600977256,3.63140233868595,4.3911128880124,4.28032544211103,4.35761386324024,4.06329118193136,3.83163113127852,4.35262125347693
"ABCC13",5.66289221173455,5.95917130322537,5.43936815025599,5.45772954638372,5.52255046050632,5.42795004562395,5.83539786944944,5.63210648497438,5.66207985664064,5.79262581443771,5.33628338786443,5.69130998261863,5.66544564311797,5.70642224964963,5.37974778833744,5.504609588039,5.48360362907758,5.52405395661498
"ABCC2",4.136873354659,4.20384552582967,4.60027959111398,4.79354338295315,4.80261107259943,4.44459319440644,4.42951005110044,5.14159382620886,4.26107303671428,4.54353839652288,4.55311529807389,4.14256219281318,4.75769103199326,4.29695716140554,4.69790773181854,4.42467228153536,5.25057963311629,4.1440551824328
"ABCC3",10.6706339978098,11.93128299732,10.797923181069,10.699625249928,11.0044591585172,11.6019262178924,11.3262529933752,10.7184651149019,9.38521435780982,7.38740786562044,9.15662025057072,8.14392069953015,7.54046021744648,8.72769641112642,9.31138881099884,9.95627691500484,10.0259504833877,7.99987973283031
"ABCC4",8.47434704835381,9.60443473234261,8.93629477231445,9.52223304546174,9.65043547139122,9.67441873759836,9.03142431103578,8.81211105877515,8.64724348126211,9.19826542394761,8.75530275155309,9.35148778739451,9.22146256563289,8.46700699276966,8.3528519031948,9.18151918410183,9.0670816708134,8.9909930255275
"ABCC5",9.47690384899052,9.83388826047106,9.45689947629567,8.96796531739503,8.53305308215028,9.02521809148739,9.43851671645715,9.09532886900753,9.89212377469373,10.1954286344396,9.15475700835776,9.26971079392151,9.68493522963312,9.21828704535289,8.72794073381323,9.06235801764407,9.65758545298471,9.71433149285875
"ABCC6",5.87671706825191,6.11757723715615,5.66197414848768,5.90514363689093,5.78496718327645,5.79974683589739,5.78085940506745,5.70331225868694,5.88839963959384,6.35638470891251,6.06065940456419,5.9383914256673,6.14926404059151,6.13242055595092,5.64686798793824,5.91991852245757,5.77296719424082,5.80381185011835
"ABCC6P1",5.06678212056004,5.24412746591621,5.58967301614536,5.23097266048754,5.0649459077727,5.43814211933861,5.38358714433615,4.79410592656822,5.14371789062187,5.74707261501787,5.38226191330881,5.32359200507292,5.48443688898394,5.18671803893852,5.40825194566582,4.71141170149479,5.4068359534841,5.06643724709661
"ABCC6P2",6.03582974299758,6.44370212078268,5.92827769381204,6.19623798294587,6.1090550200782,6.11006522656073,6.0446201238783,5.80126706113523,6.12476464138438,6.46736752652123,6.17051778722835,6.38239213928989,6.23302790665208,6.13739839171546,5.86201092767068,6.15820269740854,5.85968560147298,5.89970107416287
"ABCC8",10.5118295888638,10.1471220502912,10.4130184202893,9.30976318175892,8.84889161344981,9.37471448418785,8.12511203584826,8.8288957545834,10.2049951609172,9.90153255770949,9.85417375938251,9.80241080057161,9.84986209311677,10.0234575516705,9.48212497992806,9.23226755922234,9.75799739695546,9.27222470051723
"ABCC9",5.76337545352343,6.96935382468117,6.36952476260708,6.25706268105208,6.79793564428814,6.79367054136565,6.72162092604,6.16608051141821,6.60946141217469,6.17780599892563,6.13081764017305,6.17508681604834,6.17051778722835,5.8379828397954,6.27806524594988,6.30152564303719,6.20001050432513,6.14901766293822
"ABCD1",6.40771270011818,6.48090343155481,5.98446676620143,6.25804699429444,6.73377149577158,6.32861066650961,6.17409996510003,6.10454738694094,6.49591113504367,7.36797346076046,6.68471650563752,6.44256652179383,6.49772683787451,6.77354435752043,7.14913089617721,6.69253111682194,6.59187625431523,7.17137157961403
"ABCD2",5.04366830492428,4.73821480578456,4.8032089509611,4.60993118757502,4.80919107676072,3.83876221804511,3.72260045115512,4.60078456745084,4.74769014048296,4.70193235703926,4.34051519908669,4.29840684832523,4.38102707060982,4.79261597628191,4.62448242121792,4.83459017722843,4.62603091891084,4.28448903688378
