"","GSM3045867","GSM3045868","GSM3045869","GSM3045870","GSM3045871","GSM3045872","GSM3045873","GSM3045874","GSM3045875","GSM3045876","GSM3045877","GSM3045878","GSM3045879","GSM3045880","GSM3045881","GSM3045882","GSM3045883","GSM3045884","GSM3045885","GSM3045886","GSM3045887","GSM3045888","GSM3045889","GSM3045890","GSM3045891","GSM3045892","GSM3045893","GSM3045894","GSM3045895","GSM3045896","GSM3045897","GSM3045898","GSM3045899","GSM3045900","GSM3045901","GSM3045902","GSM3045903","GSM3045904","GSM3045905","GSM3045906","GSM3045907","GSM3045908","GSM3045909","GSM3045910","GSM3045911","GSM3045912","GSM3045913","GSM3045914"
"XLOC_002446",4.832160522,5.013609697,4.315992515,4.376571774,3.934788645,5.095008781,4.630641421,4.837163728,4.460194368,5.019644888,4.93423975,4.400962598,4.82024115,5.388597442,5.357961335,5.891560171,4.551462764,4.84083923,4.855967334,5.338779794,4.377656579,5.251922965,4.82819833,5.424207205,5.030261076,5.024270224,4.520367835,4.592529858,4.774851235,5.114226848,4.539880563,4.727135892,4.998880399,5.029341024,4.234511623,4.831368954,4.451291423,4.677788284,4.651719593,4.75773274,5.050355175,5.366182639,6.600008415,5.273063929,4.490594801,5.425606481,4.82819833,4.723443033
"XLOC_002448",4.7057,5.6984,4.8277,5.1716,5.0449,5.6251,5.5463,4.7891,4.824,5.4602,5.0127,5.5731,4.9199,5.4994,4.3377,5.0616,5.1439,4.6355,4.7387,4.0814,5.4666,4.9372,5.0043,5.1973,5.106,4.3422,5.27,5.1216,5.6862,5.9359,5.0106,5.2388,4.3859,4.8796,4.4842,4.8314,5.2808,7.6424,5.1536,5.37,5.0504,5.1923,6.6,4.3686,5.4675,5.224,5.1544,5.1536
"XLOC_002449",5.6306,5.8966,7.5125,7.4158,4.6825,4.6535,4.2464,5.0844,5.4253,5.6457,5.4335,5.9322,5.3999,5.3038,5.0485,5.3488,5.2835,4.9778,5.3974,5.2854,4.746,4.8277,4.8282,4.3228,5.1754,5.4561,5.4625,5.3959,4.8361,3.9897,4.4098,4.2824,6.0743,5.5282,5.7387,5.3899,4.7477,5.1077,5.0818,5.1129,5.3103,6.0849,7.0597,6.6026,4.4088,4.5769,4.755,4.7572
"XLOC_002451",3.4637,3.8005,4.0252,4.0769,2.621,4.0608,4.1574,4.5217,4.4602,4.0581,4.8771,4.7449,4.2417,4.1388,4.4144,4.8873,4.434,3.9678,2.4652,5.0127,4.3054,4.1957,3.5951,3.8787,4.316,5.3881,2.5024,3.6112,3.9963,4.132,4.7842,3.9793,3.9543,4.2622,2.8851,7.1521,4.4186,4.3167,4.8497,3.7382,4.7045,4.1431,5.3906,4.2401,4.5642,4.2684,3.964,4.6953
"XLOC_002452",5.4281,5.0136,6.3268,6.9743,6.7876,4.9484,6.2702,5.3118,5.4488,6.0446,5.3931,4.9897,6.2054,5.2668,5.8476,6.5624,5.9885,5.3536,7.8138,5.2854,5.7328,5.9432,4.8282,5.2432,5.8788,7.0019,5.5586,6.4258,6.7985,7.2775,6.8939,6.1826,5.5742,5.1263,6.0569,7.4754,6.3333,7.7647,6.7628,7.5988,7.2591,5.8986,7.7264,7.0077,8.2506,6.9704,6.0222,7.9888
"XLOC_002455",5.084,4.6074,4.351,4.3366,4.0581,4.2762,4.5925,4.1426,5.402,4.7765,4.277,4.9157,4.2417,4.5217,3.7337,3.8959,4.9059,4.3175,4.3693,4.9543,4.8282,5.1409,4.7234,4.5987,3.3236,4.2361,4.5762,4.6953,2.6979,3.492,4.1692,4.6227,4.4116,4.2909,4.0845,4.016,4.5392,3.6307,3.4514,4.3265,3.9543,5.6926,5.5753,4.7694,4.328,4.0326,3.1685,2.5891
"XLOC_002461",5.455709732,4.774302185,4.954252982,4.3038697,4.72571668,4.877088235,4.517746084,4.74489936,5.012213368,4.901931285,5.012678961,4.475812388,4.650523387,4.521676926,4.920410872,4.351761486,4.934731196,4.894624231,4.549859675,4.640315385,5.060298237,4.236107421,4.010404003,3.975482027,4.572458276,4.039939766,4.316746819,4.50456538,4.328014311,4.611096687,4.825020723,4.840314731,4.561044073,4.768248795,4.484230059,5.02010809,4.647528524,4.975903795,4.598125039,4.326517053,4.7325162,4.926847911,4.1086263,5.066141633,5.050355175,4.696455774,4.536646714,4.840314731
"XLOC_002462",4.505888882,4.66599724,4.772653778,4.376571774,5.200537745,5.137041039,4.697035259,4.972557158,4.460194368,5.019644888,4.75773274,5.061198763,4.241678857,5.178713357,5.2765575,5.023346343,4.434014399,4.462581957,5.053073723,4.770452967,4.41159354,5.384825798,5.300397143,5.314060866,4.919418004,4.309943841,4.648727215,4.317123823,4.82024115,4.351761486,5.194394455,7.185403749,4.251969069,4.371498535,4.393831533,3.935770995,4.747698952,5.626961345,4.427743671,4.721735444,4.651719593,4.643926462,4.266096962,4.800423724,6.575163698,5.314438573,5.542102248,5.000993814
"XLOC_002469",4.78415327,5.28814201,5.070620502,5.109010894,4.77210389,5.490221429,4.75884331,5.04853996,4.960058376,5.019644888,5.112055825,4.74489936,5.188224893,4.3038697,4.716028837,5.023346343,5.189872691,5.098083377,5.37399502,5.182856515,4.907950639,5.483519183,5.966293203,5.528817719,4.954252982,4.34216129,4.316746819,4.741532662,4.297769877,4.927341881,5.112490291,4.705699714,4.843458867,5.083087865,4.484230059,4.3038697,5.415430842,5.335433867,5.515081142,5.760197906,4.863730408,5.729937033,4.761061888,4.90343848,4.746579767,4.544395808,4.92239456,5.182028835
"XLOC_002470",4.8837,4.8761,5.1379,4.6306,4.7257,4.7705,4.7243,4.2962,4.9601,4.2063,3.7989,3.8939,4.5857,3.4826,4.9431,5.33,4.5092,5.0706,4.7069,5.1259,4.801,4.6074,5.1025,4.6559,5.2054,4.9821,4.4375,5.3959,5.0621,7.0955,3.6948,4.0545,5.214,5.0831,4.1583,4.9465,6.1055,4.857,4.5981,4.5572,4.8637,4.4866,5.0303,4.5553,4.4088,5.2436,5.5118,4.7842
