"","SRR3216048","SRR3216049","SRR3216051","SRR3216052","SRR3216053","SRR3216054","SRR3216055","SRR3216056"
"RACK1",13.1159502408554,12.9888322587212,12.5471500296544,12.7994708851338,13.0491654701782,13.2422846317114,12.9580332037851,13.012097932417
"USP9X",12.6512900788596,13.0313028679104,12.8690403379782,13.4166569801081,12.6355062251137,12.401353107617,13.1176812117685,13.3168042166798
"SCARNA10",12.9318286153525,12.7811386656707,12.6659183398981,12.7614000838087,12.8941097537354,13.2875860539482,13.150378880989,13.0217613889609
"COL4A1",13.5404898561214,12.6993089666023,12.8238993071169,12.6054495446452,12.9856752768122,13.3653885639967,12.9026496354369,12.2804799156493
"SNORA73B",13.2718399342892,12.7710083407116,12.6234778093135,12.7442140908853,13.3725297931571,12.9368974623484,12.9208152274336,12.8026325914
"RPL7A",13.1373155203485,13.00796532122,12.4223828449602,12.5938248688076,13.0854329266194,13.2604755059801,12.8888191691957,12.9930656369613
"RPS2",13.2467920410294,12.850950703465,12.1513773307011,12.3049793688072,13.3406238564009,13.2756405970756,12.9394092144641,12.9599431899554
"CALR",13.1667067436507,12.7029700339079,12.3764692841972,13.2480645721753,12.8090656847342,13.2109134654789,12.5955444307642,13.1343503434131
"C1R",13.6212090452794,12.5401926394368,12.5579460871717,12.2843156071245,12.8914718966473,13.4213887786547,13.0888991778983,12.2646378737698
"CD55",13.144843545752,13.1790801200783,11.619340528511,11.2251983725768,13.6294593057855,13.4786241712106,13.237320309909,12.0827724438976
"COL6A2",13.2762473475193,12.4657932859344,13.5197899535901,12.4594093454805,12.8089946015694,13.0810383119559,12.863949125666,12.6176536718636
"SNORD17",12.9243447940704,12.8894252228535,12.8355934257109,12.634964338069,13.0420347084261,13.0136579920238,13.0731621361609,12.8980224119671
"HNRNPU",12.9153358740989,12.9212599205727,12.7722328939231,12.7555995047658,13.0401253534934,13.1408210577054,12.9966544508461,12.823493081485
"IQGAP1",12.6564551563917,12.8869868585233,12.7575303432493,12.9579756585459,13.2720890857472,13.0386120279182,13.0748315874011,12.6752112347249
"A2M",12.9733933805605,12.7192081470574,12.3253839450446,12.6844223307529,13.3990634736367,12.301299941958,13.0617157964214,13.2351331458153
"SRRM2",12.7348008694151,12.9439715992758,13.4671323565878,12.9779400531976,12.9335204083267,12.6790183666407,12.7434487364111,12.7379672103085
"HSP90AA1",13.0568910527269,12.7982799488158,12.3965011597988,12.9152131739909,13.4101477601307,12.8609899800059,12.5657436230539,12.9324190872425
"CLTC",12.9196006171913,12.9294574094338,12.6092818312289,12.9171218839565,12.9590928526991,12.8436769137186,12.875432736885,12.9553188439963
"DST",12.8103929790816,12.5706586165936,13.6742822750948,12.8978278196426,12.7721366993539,12.5891438254867,12.9516585207433,12.5890936642662
"SF3B1",12.7745691049286,12.739786392767,12.8671229585226,13.0215123880032,12.6272231668524,12.9942247709385,13.0654161969788,12.8287758711437
"PSAP",12.882402680204,12.9839740242671,12.9509036246228,12.746804603141,12.9410711208978,12.9611148110128,12.8411131232795,12.6999483816059
"ARHGEF12",12.4803897632857,13.0156722292751,12.9415550797962,12.8068336082965,13.0531627755045,12.4694608891014,13.0278396718765,12.83652423904
"SLC7A2",12.7795404784352,13.6746710591176,12.0722959595484,11.4704619698794,13.4336356235546,12.9462851615285,12.9989619767871,12.2310392789324
"PPM1H",11.5273350105355,12.6997100388256,12.8730367681306,14.0460609964489,11.4870111350194,10.8511658614765,12.7097870602613,13.6436732220239
"PIGR",13.4885285298322,12.3064249561867,11.9960915654345,12.4067829429432,12.9699402881957,12.4219722003684,13.2109239031746,12.7649248073534
"RPL26",12.9840578485284,12.664302408262,12.0446784761565,12.3743691186892,12.9759470670122,13.1967128259635,12.8945903578332,12.9077016408086
"IL1R1",13.2530297504614,12.7502732938448,12.2770438390135,12.1131636270046,12.9055006126578,12.9960620069188,12.8485134818066,12.8829724769012
"RPL15",12.8691902720995,12.7191487532727,12.3168837867229,12.6164667731037,12.901524802533,13.0298285888645,12.808271026584,12.968140274123
