"","SRR6286050","SRR6286052","SRR6286054","SRR6286056","SRR6286058","SRR6286060","SRR6286062","SRR6286064","SRR6286066","SRR6286068","SRR6286070","SRR6286072","SRR6286074","SRR6286076","SRR6286078","SRR6286079","SRR6286080","SRR6286081","SRR6286082","SRR6286083","SRR6286084","SRR6286085","SRR6286086","SRR6286087","SRR6286088","SRR6286089","SRR6286090","SRR6286091","SRR6286092","SRR6286093","SRR6286094","SRR6286095","SRR6286096","SRR6286097","SRR6286098"
"XIST",14.939871670435,15.3715237214214,15.3385958049918,15.0378379864245,15.5232139814232,15.2690487369116,15.5238302315925,15.0061456954685,15.1837766403842,15.1479655488307,15.2592305706322,14.9887823033443,15.1313201674127,15.8290591280178,15.490029035009,15.0163237040352,16.1709840000479,15.762057246224,15.3895671552396,14.9140893927551,16.3154379808205,16.0524865432681,17.3718806339073,15.8462400686844,15.5558562879851,15.5654055211157,15.4620624276262,15.2563614430461,15.731655350483,16.6295619871309,15.3690907529145,15.9257708699663,15.2885927832517,16.8948997419996,16.451006704219
"NEAT1",14.9344540405245,16.0246531913806,15.4007921163369,14.7884167976378,14.5522426662843,15.2123445808043,15.2791650786689,16.0726674652627,15.7041519557263,15.4820057383251,15.1271942034236,15.5855267151067,15.2917973778836,15.1612150674947,13.9854674290108,14.8270036304951,16.9766063043483,15.3486772749773,16.2326623007646,14.6707587574705,15.7679639243667,15.6878134933036,17.9203922872436,15.9062296496695,15.8548075307579,16.0343986049081,14.4565445543272,13.363319006664,15.7534399574583,15.5562698125993,15.3698514192458,15.5171825947618,15.4320911550714,17.3763372012216,16.6375541422043
"RPLP0",15.3885625328695,15.2313873037595,15.9184590507285,15.4798972769782,15.7343551034447,15.0368821581138,15.0512290921517,15.4739009913622,16.3105611540824,15.788365849788,15.2787159832613,15.2710518567706,15.5042974314466,15.8895471118662,15.471632925272,15.5159033884428,15.6511130848616,15.6906372147954,15.6678788331273,15.2032233214702,15.5995303091854,15.6787966356394,15.4323696295787,15.7675077512579,15.654116859259,15.5446901560794,15.7976278375933,15.5945276721661,15.5270100293929,17.1122677513544,15.963704986924,15.693544288492,15.0485097476808,15.6347513257077,16.0232517874897
"DDX17",15.4477971348498,15.7142173485213,15.5500597150762,15.5908758230256,15.7021852405147,15.8312942023223,15.9495422578504,15.5253179610064,15.2696003016904,15.3998745983196,15.8721125868519,15.6401373433259,15.3421775000641,15.6580167846327,15.6525407975885,15.4695523382205,15.5106094520401,15.3171705151534,15.5366494112645,15.5953889878657,15.8460913776508,15.4734683266182,15.2777918684634,15.6801293242976,15.5999642586393,15.6276579262141,15.3745263409362,15.5303736625373,15.3064453558547,14.7731020105059,15.0132721727575,15.6578723826561,15.7664602219159,15.3033453536204,15.507453217511
"RPL10",15.4594577807377,15.379277676625,15.7432463482448,15.4232841586204,15.216351730108,15.1942455319361,15.1650139435477,15.493650756072,16.2206604636633,15.704236450244,15.1994044945196,15.1826958478664,15.5149033741933,15.8998328678308,15.3559827644464,15.5747267696194,15.7451353924408,15.7841581670496,15.6515801503454,15.2244061759979,15.6041904329312,15.6443260627095,14.9854041128441,15.7325728316111,15.7224780216648,15.4348487338038,15.8719621167654,15.0994536078983,15.6205333543546,16.5769377561644,15.526845722575,15.5361745542289,14.9931540137851,15.3119647166092,15.7633840245161
"EEF1G",15.1737942137125,15.0171609283696,15.6578190174641,15.4146283565515,15.6696006743992,15.0401432093456,15.053591383777,15.4874594636204,15.9025761255161,15.5269793995907,15.4184168519584,15.3749149467474,15.3661203071152,15.5680634486434,15.39238291009,15.2187813910996,15.5465831083314,15.6706325600988,15.5937835233695,15.3029854159597,15.2000934351479,15.1896323677043,14.9934913718544,15.5825910266884,15.3805493782913,15.4465283368018,15.7931101316933,15.6818195932211,15.5061965233397,16.4282591103233,15.9827998577782,15.5259243556699,15.0586673754628,15.3210620651655,15.6840458342289
"GNAS",14.1658276215981,14.3835163053692,14.0903510087943,14.1645430488071,14.7301614265905,15.7044408916805,14.8947502110263,15.5138503039293,14.7279728390811,14.3145220168136,15.7761817259014,15.9892802444674,14.2970629040627,15.5862619168482,14.3484650989854,14.2267093218919,15.5144039217336,15.7897989469316,15.3307014958867,15.5988934949985,16.2970920310566,16.3427906158129,16.4442352587368,15.8203510132329,15.9727952072971,15.8530891413175,15.2339862078115,14.4576164800359,16.1980476029573,17.1202405327622,15.6578517706521,15.9862341849985,15.5260867792546,17.8461386875607,16.2861473082157
"RPL4",15.264335896036,15.1090855735107,15.7357549760317,15.1563991887002,15.465250514048,14.9573449209087,14.9314417572758,15.3277307735549,16.1219813357508,15.3955263672206,15.0271831303558,15.0596151634124,15.1461510273586,15.8542341841959,15.3365313973003,15.2919885849384,15.5045432623198,15.6270616433933,15.4171578869137,15.1560699814976,15.7745174665312,15.7098837598541,15.9887550761353,15.761613176859,15.473334528529,15.4006668956186,15.8242029246741,15.3424049071803,15.4922334718695,17.5203394812285,15.8411574288734,15.6688125423075,14.9218348836182,16.3288810277368,16.1891610927833
"VIM",15.0823670774948,14.691315213109,15.5810659023214,15.4704906564451,15.7180628210118,14.8564474559924,15.3584669921668,15.1056698837662,16.1178679411294,15.1135571973085,14.7986019500332,14.4163939014789,14.8106079791449,16.0190632203675,15.5989321954299,15.1164124126239,15.830888038957,15.2340754830857,16.0702236852791,14.9754133330244,15.6503952355799,15.5760903272127,15.6378960835044,15.8216073022831,15.2825484921693,15.2541657932483,16.728770268478,16.5521625910808,15.3735432726874,16.4018797149023,15.1734038952152,15.6902456420633,14.8199361301359,15.8225299267864,16.2246033478288
"DDX5",15.3886669677683,15.7481582868226,15.5070034817651,15.3196385149566,15.3142520754723,15.3317469068094,15.2883512904512,15.5634284827404,15.7475090212261,15.4618459846787,15.3699074340153,15.5335128612511,15.3180135870746,15.4385182214011,15.3426641228411,15.8955092574295,15.4033555377872,15.3525053718677,15.0481226068073,15.4476910966636,15.4693825487526,15.5286355772765,15.3269149957235,15.5970968749455,15.5440847189456,15.3214999167042,15.3196943340488,15.4638725183981,15.3707466882212,14.95173375843,15.2892413147621,15.3055694791129,15.4131252248283,15.2956405199524,15.6675950172225
