"","Endothelial","Epithelial","Lymphoid","Myeloid","Stromal"
"FTH1",12.4009861680653,53.5354617887496,5.8449554215408,30.2264659491848,27.3512362447512
"RPL32",30.2531168011257,27.1465527458899,12.0134028511676,18.8557340369377,37.098449952771
"RPS23",28.3436874113764,27.9604770697206,11.7147324117285,21.5064687970203,35.4046519428485
"TMSB10",32.4042857142858,30.4406616126808,10.6252625682676,27.2442922374429,23.9156957468954
"RPS3A",25.3549145050453,30.3574976553554,10.3524881538941,19.0009918246571,36.6320286700778
"RPL3",26.8853172465733,33.025337029785,9.24777709684887,13.5106829831226,37.5208904013673
"MT-ND1",34.6944994504111,24.1187751530778,10.0548133321576,18.1388311222808,31.0934349040126
"RPL26",25.9176330051465,29.0620491320545,10.2775838690935,18.2272971528532,34.4197557085272
"PTMA",37.2221888392313,21.9779842259718,12.2517113624842,15.7741038215033,29.3153777513425
"RPL11",23.1642857142858,27.9133011716056,10.2585072118749,18.4429223744292,35.9614473808812
"RPS27A",23.2845119217465,26.8116383542692,15.0486722988099,17.9762098829133,31.0777369502608
"RPL7A",21.8952447499548,30.5599944933211,9.34929981186277,14.3987224940295,37.5312193477198
"MT-ND3",27.9464285714285,25.4679531357684,11.8375577650187,18.0418569254185,29.8484417921743
"RPS19",23.9721428571429,23.9767057201929,15.7491947906454,18.8181126331811,30.4658520412968
"RPL12",22.6038245563529,28.6091122742606,7.95318224292731,15.2723798212131,36.1810853883011
"RPS3",22.9285714285716,27.8071531562621,12.0950847220276,14.0989345509893,33.6218222019172
"RPS24",23.7171427382742,26.7828934203584,10.9731306846302,17.6380472073453,31.1681738676145
"RPS15A",22.8846852431979,21.7179114521222,13.1445053796365,16.653515535221,31.0878221599042
"FTL",11.3635714285714,8.38842177808392,3.38264948886703,62.1103500761034,17.9083511379262
"RPL19",21.4345278210938,24.1258279069427,10.6366996425671,16.4918011936559,27.1891776438354
"RPL29",19.832491117205,26.9261620810594,8.22366876238286,12.9354347413352,31.2418972621725
"RPL30",19.6364285714287,20.602205375603,12.18106707744,17.5159817351597,28.7823876732624
"RPL34",20.6142673982894,24.3624134560604,9.10158506072106,15.6084474885845,28.9860490415474
"RPL18A",19.8537552836538,23.7132980264235,8.56752138562,14.6934476533119,28.7337004199846
"RPL8",19.0242857142858,25.4760854583047,7.73981235121132,13.0114155251141,28.9593318808968
"ACTB",17.5964285714286,9.42182820620487,15.084722027727,27.4520547945204,22.4218219762352
"RPL39",21.2200000000214,21.9611394287059,8.21315869075904,14.7538051740401,25.181055524184
"RPS6",23.0371428571429,23.5527222605099,7.32292396022965,12.9505327245053,24.2340942818321
"RPL18",18.5157142857143,22.4041350792558,8.54292115950138,12.8021308980213,27.5162451453985
"RPS7",18.1612890869379,20.9473651606777,8.30547263983357,12.3322509099223,29.7262858698835
"RPL15",20.5094056354889,22.5989589403039,7.85296020428851,13.4612181943755,24.6317966768467
"RPS15",19.3731628383909,21.5495477865023,9.96300715656271,13.9207904852326,22.4151528727514
"RPS28",24.5449318618434,17.1374867371901,7.44901265707056,12.3464266138897,21.2591309815435
"RPL10A",14.3944991788481,22.7254458423321,6.19730692480462,9.54780477682293,25.5144047889062
"RPL5",17.1306145265273,19.0355100219123,6.04554186679375,10.0748622260273,25.781976541784
"RPL6",16.8315584063317,19.3955989743125,6.56624493105976,11.030225914635,24.2138974371679
"RPS9",17.4507142857143,18.6831150930394,6.73000980254865,11.8477929984779,20.4122635819749
"RPS13",16.263174603326,17.305162338057,6.28998739654956,13.7978691016884,21.3975015443195
"ACTG1",17.3328571428572,13.3009836476889,9.04005041310718,11.6674277016742,23.3480305702528
"RPS10",14.3147086170354,19.9477300632284,7.68796140029741,11.7538087141181,19.0181747585674
"RPL35A",14.8035714285715,18.992005513439,6.60663772580873,10.4505327245053,21.8470209339748
"MT-ND2",19.8192933584963,15.0262286344945,7.37610890430957,12.2234773020766,18.2449492843063
"RPL37",15.6964285714286,15.3220537560303,6.2473042991178,10.9573820395738,20.8221076249124
"RPS27",12.4942001502642,12.9761288457989,10.7311174056013,12.4240676463557,18.0430849844042
"RPL13A",12.2855674020733,18.8517569343154,4.53881745633659,9.5115235540874,21.0200174648693
"RACK1",13.0592857142857,17.0919365954514,5.04313121411575,8.76484018264837,21.9428183511701
"MT-ND5",14.4292857142857,16.3798759476223,7.48480604957287,9.75722983257227,16.6120425625954
"RPS5",12.52,16.111154421406,5.55293376277838,8.76179604261793,19.9799780986689
"RPLP0",12.4025403288646,19.9144922948845,3.46252685931773,6.99779622179637,20.0639001571139
"MYL6",11.3792857142858,14.4453480358373,5.91429771740659,8.55175038051744,21.008302464985
"COL3A1",4.36642857142856,1.51964162646459,1.15474023246043,3.93302891933033,50.1518423794587
"RPS16",12.4472331311235,14.6511597117665,5.92659203821478,10.3802152604681,17.6661289666575
